abduct|לחטוף
emerge|לצאת מתוך;להתגלות
eminent|בולט;מכובד;בכיר
emit|לפלוט;לשחרר;להפיץ
emphasize|להדגיש
empire|אימפריה
employ|להעסיק;להפעיל
employment|תעסוקה
empty|לרוקן;ריק
enact|לחוקק;לשחק;לגלם דמות
enchant|להקסים;לכשף
enclose|להקיף;לסגור;לצרף
encompass|להקיף;להכיל
encourage|לעודד
end|לסיים;סוף
endanger|לסכן
endeavor|ניסיון;מאמץ
endurable|נסבל
endurance|כוח סבל
endure|לסבול;לשאת;להחזיק מעמד;להתמשך
enforce|לאכוף
enforcement|אכיפה
engage in|להתעסק ב
engagement|התחייבות;מחויבות;אירוסין
enhance|לשפר;לשדרג;להעצים
enjoy|ליהנות
enormous|עצום
enough|מספיק;די
enrage|להרגיז;להכעיס
enrich|להעשיר
enroll|לרשום;לתעד;לגולל
enroll in|לקחת חלק ב;להיות רשום ל
ensure|להבטיח
enter|להיכנס;להכניס
enthusiast|נלהב;מעריץ;חסיד
entire|שלם;מכלול
entitled|זכאי;ראוי
entrance|כניסה;פתח
envelope|מעטפה;מעטפת;עטיפה
environment|סביבה
envy|לקנא;קנאה
equal|שווה
equalize|לאזן;להשוות
equate|להשוות;להתאים
equator|קו המשווה
erase|למחוק
erroneously|בטעות
error|טעות
escape|לברוח;בריחה
essay|מאמר;חיבור
essence|תמצית;מהות
essential|חיוני;הכרחי
establish|לייסד;לבסס;להוכיח
establishment|מוסד;הקמה
esteem|הערכה
estimate|להעריך;הערכה
estimated|מוערך;משוער
evaluate|להעריך
event|אירוע;מקרה
eventual|סופי
eventually|לבסוף
evoke|לעורר;לגרום
exaggerate|להגזים
exaggeration|הגזמה
examine|לבחון
excavate|לחפור
excel|להצטיין
excellent|מצוין
except|חוץ מ
excess|עודף;יתר;הגזמה
excessive|מוגזם;מופרז
exchange|להמיר;להחליף;המרה;החלפה
exert|להפעיל מאמץ
exhale|לנשוף;נשיפה
exhausting|מתיש
exhaustion|תשישות;מיצוי
exhibit|להציג;תצוגה;תערוכה;מוצג
exhibition|תערוכה
exile|לגרש;גלות;גולה
exist|להתקיים
existence|קיום
expand|להרחיב;להתפשט
expect|לצפות;לקוות
expel|לגרש
experience|ניסיון
expert|מומחה
explain|להסביר
explanation|הסבר
explicit|מפורש;ברור
explicitly|מפורשות;בבירור
exploit|לנצל;למצות;להפיק תועלת
explorer|חוקר;מגלה ארצות
exploring|עיסוק בחקר
explosive|חומר נפץ;נפיץ;רגיש
export|לייצא
expose|לחשוף;לגלות;להציג
exposed|חשוף
exposure|חשיפה;גילוי
express|לבטא;להביע;להפגין;מהיר;ברור
expression|הבעה;ביטוי
expulsion|גירוש;סילוק;הרחקה
extend|להאריך;להרחיב
extension|שלוחה;הארכה;מתיחה;הרחבה;פישוט
extensive|מקיף;נרחב
extent|תחום;גבול;שעור;מידה;גודל
external|חיצוני;זר
extinct|להכחיד;להעלים
extinction|הכחדה
extract|לתמצת;להפיק;לחלץ;לסחוט;תמצית
extreme|קיצוני
extremist|אדם קיצוני;מרחיק לכת
face|לפנות;פנים
facial|שקשור לפנים
fact|עובדה
factory|מפעל
failure|כישלון
faithful to|נאמן ל
fall|ליפול;נפילה;קריסה;דעיכה;סתיו
familiar with|מכיר את;בקיא ב
famous|מפורסם
fascinate|לרתק;לסקרן
fascinating|מרתק
fascination|קסם;משיכה
fast|לצום;צום;מהיר
fatal|קטלני
fate|גורל
fault|אשמה;מגרעה;חסרון;טעות;שגיאה
faultlessly|ללא רבב
favor|טובה;חסד
feasible|בר עשייה;מעשי
feature|להציג;לאפיין;תכונה;מאפיין
fee|שכר;גמול;אגרה
feed|להאכיל;לספק
feel|להרגיש;לחוש;למשש;רגש;תחושה
feelings|תחושות;רגשות
female|נקבה;אישה
ferment|לתסוס;תסיסה;שמרים
fertile|פורה;שופע
fertility|פוריות
fertilize|להפרות
festivity|חגיגיות
feud|סכסוך;שנאה
fictional|בדיוני;בדוי
figure|לחשב;להניח;להסיק;גזרה;דמות;ספרה
figure out|להבין
final|סופי;אחרון
finally|לבסוף
finance|לממן;מימון;כספים
financial|כספי;פיננסי
find|למצוא
findings|ממצאים
firm|מוצק;קשה;תקיף;נחוש;חברה;פירמה
firmly|בתקיפות;בנחישות;בחוזקה
fit|להתאים;מתאים;כשיר
flame|להצית;להבעיר;להבה;בעירה
flexible|גמיש
fling|להשליך;להעיף;הטלה;זריקה;השלכה
flood|שיטפון;הצפה
floor|קומה;רצפה
flow|לזרום;זרם;שטף;גאות
fluctuate|לעלות ולרדת;להתנדנד
fluent|רהוט;שוטף
fly|לעוף;לטוס
fool|טיפש;שוטה
forbid|לאסור;למנוע
forbidden|אסור
force|להכריח;לאלץ;כוח;אלימות;כוח צבאי
forceful|חזק;משכנע;יעיל
foreign|חוץ;זר
foresight|ראיית הנולד
forget|לשכוח
forgive|לסלוח
form|לייצר;טופס;צורה
former|קדום;קודם;לשעבר
formerly|קודם לכן;בימי קדם;משכבר הימים;מזמן
fortunate|בר מזל
fortune|הון;ממון;מזל;סיכוי
found|לייסד
foundation|יסוד;קרן
fragile|שביר
fragrance|ריחניות;ניחוח
fragrant|מפיץ ריח טוב;נעים;מענג
frequency|תדר;תדירות
frequent|תדיר
front|קדמי;פרונטאלי;חזית
fruit|פרי
fruitless|חסר פרי;עקר
frustrated|מיואש;מתוסכל
frustration|תסכול
fuel|לתדלק;דלק
function|לתפקד;לשמש;תפקוד;פונקציה
fund|לממן;הון;קרן
fundamentally|ביסודו;בעיקרו
furthermore|יתר על כן
futile|חסר תועלת;עקר
gain|להרוויח;להשיג;רווח
game|משחק;תחרות;ציד
gap|לרווח;לפתוח פער;רווח;פער
garbage|אשפה;זבל
garment|להלביש;לכסות;לבוש;בגד;כיסוי
gather|לכנס;לאסוף
gathering|אסיפה;מפגש
general|כללי
generalize|להכליל
generate|ליצור;לחולל
generators|מחוללים;יוצרים;גנרטורים
generous|נדיב
genetics|גנטיקה;חקר התורשה
gesture|תנועה;מחווה
gift|מתנה
give rise|לעורר;לגרום
glare|מבט חודר;נוקב;ברק
globe|גלובוס;כדור הארץ
glory|פאר;תהילה
glow|לזהור;זהר
goal|יעד;מטרה;גול;שער
good|טוב
goods|סחורה
government|ממשלה
governor|מושל
grace|לכבד;חן;ברכה
gracious|חינני;אדיב
graciously|באדיבות
grade|לדרג;לתת ציון;שלב;כיתה
gradual|הדרגתי
grant|להעניק;מענק
grasp|לתפוס;להבין
gratify|לרצות
grave|קבר;חמור;רציני
gravitation|גרביטציה;כוח המשיכה
greet|לברך לשלום
grime|לזהם;זוהמה
gross|ברוטו;דוחה;מגעיל
grow|לצמוח;לגדול;לגדל
growl|לנהום;לרטון
growth|צמיחה;גדילה
guarantee|להתחייב;להבטיח;אחריות;ערובה
guess|לנחש;ניחוש
guidance|הדרכה;הובלה;ייעוץ;הנהגה
guide|להדריך;להוביל;מדריך;מורה דרך
hail|לקרוא;ברד
halt|לעצור;עצירה;תנוחה
hard|קשה
harden|להקשות
hardly|בקושי
harm|להזיק;לפגוע;נזק;פגיעה
harsh|נוקשה
harvest|לקצור;קציר
hasty|מהיר;חפוז;עצבני
haze|להציק;להשפיל;לטשטש;ערפל;אובך
headache|כאב ראש
headgear|כיסוי ראש;כובע
hear|לשמוע
hectic|עמוס;קדחתני;מלא רגש
heir|יורש
hence|לפיכך
herd|לאסוף;לכנס;עדר
hereditary|תורשתי
hesitate|להסס
hibernation|תרדמת חורף
hide from|להסתיר מ;להסתתר מ
high|גבוה
hinder|למנוע;לעכב
hint|לרמוז;רמז
hive|כוורת
hobby|תחביב
hold|להחזיק;להכיל;להאמין;אחיזה
hope|לקוות;תקווה
horrify|לזעזע;להחריד
horror|אימה;זוועה
hostile|עוין
hostility|עוינות
hypocrisy|צביעות
hypocrite|צבוע
icicle|נטיף קרח
ill|חולה
illegal|בלתי חוקי
illiterate|אנאלפביתי;בור
illness|חולי;מחלה
illusion|אשליה
illusive|מתעתע
illustrate|לאייר;לעטר;להמחיש
illustration|איור
image|לדמות;תמונה;דמות;תדמית
imaginary|דמיוני;מדומה
imaginative|דמיוני;בעל דמיון
imagine|לדמיין
immediate|מיידי;דחוף
immediately|מייד
immodest|חסר בושה;חצוף
immortal|בן אלמוות
immune|לחסן;מחוסן
immunity|חסינות
impair|לפגום;להחליש
impartial|חסר פניות;בלתי משוחד
impartially|בצורה הוגנת
implausible|בלתי סביר
implore|להפציר;להתחנן
import|לייבא
importance|חשיבות
important|חשוב
impose|לכפות;להציב
impression|רושם;חוות דעת;חיקוי
impressive|מרשים
imprint|הטבעה;חותם
imprisonment|כליאה
improve|לשפר
improvise|לאלתר
in addition|בנוסף
in case of|במקרה של
inaccessible|לא נגיש
inadequate|בלתי מתאים;לקוי
inanimate|דומם
incentive|תמריץ
incite|להסית;לשלהב;לשסות
incline|לנטות;שיפוע;מדרון
indefinite|לא מוגבל
independent|עצמאי;בלתי תלוי
indication|אות;סימן
indifferent|אדיש
individual|פרט;יחיד;אינדיבידואל
indulge|לפנק
indulgence|סיפוק;התמכרות;פייסנות
industrialization|תיעוש
industrious|חרוץ;שקדן
industriously|בשקדנות
industry|תעשייה
inert|אדיש
infamous|ידוע לשמצה;מגונה
infer|להסיק
infiltrate|להסתנן;לחדור
infinite|אינסופי
inflammation|התלקחות;דלקת
inflict|לגרום;להסב;להטיל
influence|להשפיע;השפעה
ingredient|מרכיב
inhale|לשאוף;שאיפה
inherent|טבוע
inherit|לקבל בירושה
initial|התחלתי;ראשוני
initially|בתחילה
initials|ראשי תיבות
initiate|ליזום
injection|זריקה
innovate|לחדש;להמציא
inquiry|חקירה
insensitive|לא מתחשב;לא רגיש
insert|להחדיר;לשבץ
inside|בפנים;פנימי
insight|תובנה
inspection|בדיקה;פיקוח
inspiration|השראה
inspire|לעורר השראה
installation|התקנה;התקן
institute|להקים;לייסד;להתחיל;ליזום;ליישם;מוסד;ארגון
instrument|כלי
intellectual|מלומד;אינטלקטואל
intensify|להגביר;להעצים
intensity|עוצמה
interaction|אינטראקציה;פעולת גומלין
interest|עניין;אינטרס;ריבית
interesting|מעניין
internal|פנימי
interpret|לפרש
interpretation|פרשנות
intersection|צומת;הצטלבות
intervene|להתערב;להפריע
intervention|התערבות
introduce|להציג
introduction|מבוא;הצגה;היכרות
intrude|להפריע;להתפרץ
invade|לפלוש
invent|להמציא
invention|המצאה
inventor|ממציא
inventory|רשימת מלאי;מלאי
invest|להשקיע
investigate|לחקור
investigation|חקירה
investment|השקעה
invisible|בלתי נראה
invisibly|באופן לא גלוי
invite|להזמין
involve|לערב
irregular|לא סדיר;חריג
irrigation|השקיה
isolate|לבודד
jag|חרץ
job|עבודה
join|להצטרף
joy|שמחה
judge|לשפוט;שופט
judgment|שיפוט
just|כרגע;זה עתה;רק;צודק;הגון
justification|הצדקה
justified|מוצדק
justify|להצדיק
kit|ערכה
knot|לקשור;קשר
know|לדעת
knowledge|ידע
known|ידוע
labor|לעבוד;להתאמץ;לידה;עבודה
lack|חסר
lame|נכה;חלש;עלוב
land|לנחות;להגיע לקרקע;אדמה;שטח
landscape|נוף
language|שפה
large|גדול
late|מאוחר;מנוח
lately|לאחרונה
latter|השני;האחרון
law|חוק;משפט;תורה
layer|שכבה
lead to|להוביל ל
lean|להישען;רזה;כחוש
learn|ללמוד
leave|לעזוב
legacy|מורשת;נחלה;ירושה
legal|חוקי
legend|אגדה
legible|קריא;בולט
legislate|לחוקק
legislation|חקיקה
legislative|חקיקתי
legislator|מחוקק
leisure|פנאי
length|אורך
less|פחות
lesson|שיעור
lethargic|עייף;לאה;רדום;ישן
liability|התחייבות;מעמסה;אפשרות
liberally|בנדיבות;באופן חופשי
liberate|לשחרר
liberation|שחרור
lie|לשכב;לשקר;שקר
life span|תוחלת חיים
light|להדליק;קל;בהיר;אור
light bulb|נורה
lightly|בקלות
likewise|באופן דומה;כמו כן
limb|איבר
limber|גמיש;זריז
limit|להגביל;הגבלה;קצה;תחום
linger|להתמהמה
link|לחבר;חוליה;קישור
linked with|קשור ל
literate|משכיל
literature|ספרות
load|להטעין;להעמיס;משא;מטען
loathe|לתעב
local|מקומי
location|מיקום
logic|היגיון
lone|בודד;יחיד
loom|לארוג;מכונת אריגה
lose|לאבד;להפסיד
lost|אבוד;מבוזבז
loud|קולני;רועם
loudly|בקול רם
lucrative|רווחי;משתלם
lure|לפתות;למשוך;פתיון
luring|מפתה
machinery|מנגנון;מערכת מכונות
magical|קסום
main|עיקרי;ראשי
mainly|בעיקר
maintain that|גורס כי;טוען ש
maize|תירס
major|מרכזי;עיקרי
majority|רוב
male|זכר;גבר
