אדן|בסיס, יסוד
עיסה|בצק
ערום|ערמומי, נוכל
פדה|הציל, גאל, שילם כדי לשחרר
פח|מלכודת
פילג|חילק, התנגד
פקד|ציווה, נתן פקודה; ביקר מישהו
פשפש|דלת קטנה, שער קטן
צוהר|אשנב, חלון קטן; זוהר, בהירות
צפחת|כלי קיבול קטן לנוזלים, כד
קדחתני|מהיר ביותר, דחוף, בהול
קטגור|פרקליט המסייע לתובע נגד הנאשם
קלטת|קסטה, מיכל אחסון לסרט
רדיד|צעיף, שָׁל
רחיים|מתקן לטחינת גרגרי תבואה
רפה|חלש, חסר כוח
שום|נתון, מונח, מוטל
שידה|ארון נמוך
שמץ|קצת, משהו, קורטוב
שעתק|יצר העתק מדויק של יצירה מקורית
שש|שמח, עלץ, התלהב
תהייה|תמיהה, פליאה; הרהור, מחשבה עמוקה
תל|גבעה מלאכותית
תיעל|חפר והתקין רשת תעלות, הכווין
תש|נחלש, רפה
אבוקה|לפיד
אומצה|נתח בשר מטוגן או צלוי
איטר|שמאלי
אלתר|השתמש במה שנמצא בידיו כדי להכין משהו
אספלנית|פלסטר, תחבושת
בבואה|דמות המשתקפת במים או במראה
בוסתן|גן
במשורה|בצמצום
בצע|חתך, פרס לחם
ברם|אבל, אולם, אכן, אמנם
גידף|קילל
גחן|התכופף
גס|עבה או מחוספס; לא מנומס
דאה|טס ללא עזרת מנוע
דרגש|כסא נמוך
החשה|השתתק, החריש, לא השמיע קול
המאיס|גרם שדבר יהיה מאוס
הסתאב|הפך למושחת, הידרדר מבחינה מוסרית
הפכפך|שאינו יציב, משתנה לעיתים קרובות
הקנה|הנחיל למישהו ידיעות, הרגלים או ערכים
התאקלם|התרגל לחיים במקום חדש או בחברה חדשה
התערה|נקלט והשתלב בחברה או במקום חדש
זיק|ניצוץ אש, שביב
חבורה|תפיחה בעור עקב מכה
חיגר|צולע, פיסח
חנופה|דברי שבח מוגזמים כדי למצוא חן
חריף|צורב את הפה; חזק מאוד; שנון ומבריק
יהב|תקווה, סיכוי
יצר|דחף או תשוקה; נטייה טבעית להתנהג בדרך מסוימת
כחוש|רזה, דל
כימת|מדד, שקל, חישב את הכמות
כרך|עיר גדולה
להג|פטפוט
למצער|לכל הפחות
לשד|תמצית החיים, חיות
מדור|יחידת משנה מנהלית, חלק ממחלקה
מותר|עודף, שארית; יתרון, עדיפות
מטורזן|מהודר בלבושו
מכורה|מולדת
מלקוש|הגשם האחרון של העונה
מסעד|תמיכה, משענת
מפלס|גובה, קו או משטח אופקי הנמצא בגובה מסוים
מרבד|עשוי רבדים רבים, מורכב משכבות
משקוף|החלק העליון של מסגרת דלת או חלון
נבדל|היה שונה מאחרים, התרחק מאחרים
נד|התנועע, נע או היטלטל מצד לצד
נווד|מי שאינו חי במקום קבוע אלא נודד ממקום למקום
נחלה|אחוזה, קניין; ירושה, חלק
ניחא|מילא, יהי כן
ניכש|הוציא ועקר עשבים
ניפה|העביר קמח דרך נפה כדי להרחיק ממנו את הפסולת
נקרה|שקע, נקיק בסלע; נזדמן בדרכו של מישהו
סבכה|מחיצה עשויה רשת
סוללה|תל עפר גבוה
סיכל|הכשיל או מנע את אפשרות ההצלחה
סר|נרגז ועצוב
עול|כלי רתימה לבקר; נטל, מעמסה
עכבה|מניעה, מעצור
עסיס|מיץ פירות
ערטילאי|ערום, חשוף; מופשט, לא מוחשי
פדחת|החלק שמעל המצח
פיטם|האכיל בעלי חיים בשפע רב כדי שישמינו
פלג|נחל מים קטן; חלק מן השלם
פת|פרוסה, חתיכת לחם
צוף|המיץ המתוק שנוצר על ידי פרחים
ציה|ישימון, מדבר שומם ויבש
צפי|תחזית
קדרה|סיר
קטום|שראשו נכרת ונקצץ
קליה|הכנת מאכל על ידי השהיה בחום או באש
קיפח|הפלה לרעה, עשק; גבה קומה, ענק
קרס|התמוטט, צנח ארצה, כרע ונפל
רהב|גאווה, יהירות; אומץ
רחש|מחשבה, הרהור; רשרוש
רפיון|חולשה, חוסר כוח, חוסר מרץ
שבח|דברי כבוד, תהילה והערכה
שומה|הערכה, אומדן; בליטה על עור הגוף
שכיח|מצוי, רגיל
שנון|חד, מושחז; חריף, קולע
שפוף|כפוף, שחוח, גחון
שת|הניח, שם, הטיל
תואנה|אמתלה, תירוץ
תלאה|עמל, יגיעה, ייסורים
תתרן|חסר חוש ריח
אביון|עני, דל, רש, מך
אילן|עץ
אמה|מידת אורך קדומה; האצבע האמצעית ביד
אפוא|אם כן, ובכן, לכן
אריח|לוח מרובע מאבן או מחרסינה לכיסוי רצפה או קירות
בור|חסר השכלה; שדה לא מעובד
בכר|גמל צעיר
בצר|חיזק, הפך מקום למבצר
גיבן|שגבו מעוקם, בעל חטוטרת
גץ|ניצוץ
דבק|נצמד בחוזקה; נהג במשהו במסירות ובנאמנות
דופי|גנאי, פגם
דרוך|מוכן, מתוח
הוטלא|תוקן בעזרת טלאי
הטיח|השליך בכוח, זרק בחוזקה
הכלים|בייש, השפיל, גרם מבוכה
הסתגף|התענה, מנע מעצמו דברים
הפליג|יצא לשוט במים; התרחק, המריא
הקניט|לעג, לגלג
השרה|הניח דבר בתוך נוזל למשך זמן מה
התבדה|הוכח שאינו נכון, התברר כשקר
התיק|הזיז, הסיט, העביר למקום אחר
התערטל|התפשט מכל בגדיו, חשף את מערומיו
זך|נקי, טהור, צלול
חבוש|אסור, כלוא; ששמו עליו תחבושת
חריץ|נתח, חתיכה
טינה|שנאה, קנאה
יהיר|רברבן, גבה לב
יקיצה|התעוררות משינה
כברה|נפה, כלי שבתחתיתו רשת צפופה לניפוי קמח
כחש|שקר, מרמה
מבעית|מפחיד מאוד, מעורר אימה
מדוכדך|מדוכא, עצוב, שבור מבחינה נפשית
מוכמן|מוסתר, טמון
מזווה|ארון למוצרי מזון
מטיל|גוש של חומר מתכתי, צר ומוארך
מלרע|הטעמה על ההברה האחרונה
מספוא|מזון לבהמות
מפרק|מקום חיבור של חלקים
משורה|כלי למדידת כמויות של נוזלים
מתאבן|מאכל שאוכלים בתחילת הארוחה כדי לעורר את התיאבון
נבוב|חלול, ריק מתוכן
נדוש|שגרתי, בנאלי, שאין בו כל חידוש
נוכח|השתכנע בנכונות הדבר; מול
ניחר|התייבש
נלוז|מושחת, הסוטה מדרך הישר
נפה|כלי בעל נקבים קטנים לניפוי קמח; מחוז, פלך
סבר|חשב, החזיק בדעה
סומא|עיוור
סכר|מחסום המוצב כנגד הזרם לרוחב נהר
סריג|אריג סרוג דמוי רשת
עכור|דלוח, בלתי צלול, מלוכלך
עפרה|מחצב המכיל מתכת מסוימת
ערירי|חשוך בנים; גלמוד, בודד
פוחז|חסר אחריות, קל דעת, פזיז ושובב
פיח|אבקת פחם שחור שנוצרת כתוצאה משריפת חומר
פילה|הרחיק כינים או פשפשים מבגדים
פקע|נבקע, נסדק, התפוצץ
פתיל|חוט, חבל דק שזור מחוטים
צינה|מגן; קור
ציפורן|חתיכת מתכת מחודדת לכתיבה; ניצן פרח משמש כתבלין
קהה|לא חד; עמום, מעורפל, מטושטש
קילס|בז, גינה, לעג; הילל, שיבח מאוד
קפץ|סגר חזק, כיווץ, הידק
רהוט|שגור, שוטף
רטייה|אספלנית, תחבושת
רצד|פיזז, ריטט, נע בתנועות מהירות
שביב|ניצוץ, קרן אור; משהו, קורטוב
שכך|נרגע, שקט, פחתה עוצמתו
שינן|חזר שוב ושוב על דבר כדי ללמוד ולזכור אותו
שפל|בזוי, נקלה, מנוול; נמוך, קצר קומה
תוגה|יגון, עצב
תלולית|ערימה קטנה, תל זעיר, גבשושית
תער|סכין גילוח
אור|אש, מדורה
אפוף|עטוף, מוקף
ארעי|שאינו קבוע, זמני, מקרי
בגין|בגלל, מחמת, על סמך
בושש|איחר להגיע, לא הופיע בזמן
בקיא|מומחה, ידען, יודע דבר על בוריו
בירר|בחר את הטוב או המתאים ביותר
גוויל|קלף גס מעור בהמה המשמש לכתיבה
גידם|בעל איבר קטוע
גר|פחד, ירא
דורון|מתנה, מנחה, שי, אשכר
הוכיח|הטיף מוסר
הטליא|תיקן קרע בבגד על ידי טלאי
הכמין|הטמין, הכניס דבר מה לאדמה וכיסה אותו
הנחיל|הוריש, העביר בירושה, הקנה
הסתייג|הביע הסתייגות, לא הסכים עם משהו
הפציר|הרבה לבקש ממישהו שוב ושוב
הקצה|ייחד חלק מתוך השלם לצורך מטרה מסוימת
השריש|הוציא או הצמיח שורשים; החדיר והעמיק דבר מה
התבדר|התפזר
התיר|פתח קשר; הרשה, פתר
התעשת|נחלץ ממצב של בלבול וארגן מחדש את מחשבותיו
ויזה|אשרה, רישיון כניסה לארץ
זלג|נזל טיפות טיפות, טפטף
חבט|הכה בכוח
חלחל|חדר בהדרגה מבעד לנקבוביות של חומר
חרישי|לוחש, סודי, דיסקרטי
טלאי|חתיכת בד או עור התפורה על קרע
יורה|קלחת, סיר גדול, דוד
כילי|קמצן מופלג
כיסופים|געגועים עזים, השתוקקות, ערגה
לוט|עטוף, מכוסה; חומר כתוב המצורף למכתב
למשעי|היטב, באופן נקי
לתומו|בלא כוונה מיוחדת, סתם כך
מגור|פחד, מורא
מדקדק|מדויק בכל פרטיו; יסודי, קפדני
מוסכמה|דבר שהוסכם עליו, דבר רגיל ומקובל
מזמרה|כלי גינה דמוי מספריים לקיצוץ ענפים
מטלה|משימה
מכתבה|ארון תאים ומגרות ובו מדף המשמש לכתיבה
ממאיר|מתפשט וגדל, חסר מרפא
מעורה|מוצמד, מושרש, קשור ומשולב
מפתן|סף, אסקופה
מרכבה|עגלה הנרתמת לסוסים
משחז|שליטשו והשחיזו את הלהב שלו
מתבן|מחסן שמחזיקים בו תבן
נבל|אדם מנוול, מושחת ורשע
נדם|נעשה שקט, השתתק, חדל להישמע
נול|מכונת אריגה
נוחן|התברך בו, זכה וקיבל תכונות או כישורים
ניטש|על קרב: התרחש, התחולל
נמהר|פזיז, נחפז
נרגן|שדרכו לרטון תדיר ולהביע אי שביעות רצון
סברה|השערה, דעה, רעיון
סוור|סבל בנמל
סלד|נגעל או נרתע ממשהו או ממישהו
סתור|פרוע, בלתי מסודר; מופרך
עצרת|אספה עם המונית
ערם|אסף או צבר דברים לערימה
פולמוס|ריב, ויכוח חריף
פיכח|שאינו שיכור
פלומה|שערות רכות
פתית|פירור בצק
צור|סלע גדול
ציקן|קמצן
צקלון|צרור, תיק; סערה, סופה
קולמוס|עט, מכשיר כתיבה
קיבעון|פיקסציה, הצמדות מופרזת לאדם או לחפץ מסוים
קלסתר|קווים מאפיינים של פנים
רובד|שכבה
שזר|קלע, חיבר כמה חוטים על ידי פיתולים
שיכך|הרגיע, השקיט, הפחית את העוצמה
שתת|ניגר ממנו, נזל
תוחלת|תקווה, ציפייה
תמחוי|מטבח זול לנזקקים
תעתוע|הטעיה, הונאה, רמאות
אבניים|הגלגל שבעזרתו יוצר הקדר כלי חרס
אורח|דרך, נתיב; מנהג
אמיר|צמרת
אפיפית|ביסקוויט, ופל
ארשת|הבעת פנים
בגפו|לבדו
בז|זלזל בו
בלאט|בשקט; בסתר, בחשאי
בעטיו|בגללו, באשמתו
בקע|פרץ לעצמו דרך מתוך משהו או לתוכו
גומחה|שקע בקיר, נישה
גילופין|שכרות, תחת השפעת אלכוהול
גרגרן|רעבתן, זללן
דגה|כלל הדגים
דיבה|דיבור גנאי, לעז, רכילות
דשדש|דרך או רמס ברגליו, בוסס ברגליו
הונה|רימה, הטעה, הוליך שולל
הלחמה|חיבור מתכות זו לזו
הניא|השפיע על מישהו וגרם לו שלא לעשות משהו
הסתמא|התעוור, נעשה עיוור
התבולל|עבר תהליך של היטמעות והשתלבות בקבוצה אחרת
התיירא|חש יראה, פחד, חשש
התנכר|העמיד פני זר, הפגין זרות כלפי אדם אחר
התפוגג|הלך ונחלש או התפזר עד שנעלם לחלוטין
ויטלי|חיוני, שופע חיים
זמורה|ענף של גפן
חבץ|ניער או הניע בחוזקה חלב או שמנת כדי שיהפכו לחמאה
חלחלה|רעדה, בהלה
חף|לא אשם, נקי מפשע
חרך|חריץ בקיר, אשנב
יחל|קיווה, ציפה, המתין בקוצר רוח
כבש|גרם משופע שמסייע לעלייה או לירידה בלי מדרגות
כסות|בגד, לבוש
ליבה|לב, החלק המהותי; החלק הפנימי הקשה של הפרי
לוע|חלל המצוי בחלק האחורי של הפה
מאובק|מכוסה אבק
מגזר|סקטור, חתך באוכלוסייה
מדרון|מעבר הדרגתי ממקום גבוה לנמוך, שיפוע מורד
מחויט|תפור, רקום
מטולל|מכוסה בטל, רטוב מטל
ממגורה|אסם לתבואה, אמבר
מיצה|ניצל משהו עד תום
מרצע|מכשיר לניקוב חורים
משטמה|שנאה עזה, איבה
מתמיה|מוזר, מעורר תמיהה
נבער|בור, חסר השכלה
נדן|נרתיק החרב
נוף|סביבה, פנורמה; צמרת העץ
נחשול|גל גדול
ניכור|התרחקות, היבדלות
נפרע|שולם, סולק, נפדה
נרפה|עצל, רשלן
סגידה|הערצה
סילף|הציג דברים בדרך שאינה נאמנה למציאות
סתת|הקציע אבנים בפטיש ובאזמל וחילק אותן
עיזבון|רכוש שהותיר אדם אחרי מותו, ירושה
עמימות|אי בהירות, אטימות
פולשני|שחודר ופולש, שנכנס לעומק
פייס|הרגיע או הפיג את רוגזו של מישהו
פלח|ביקע, שיסף
פרופיל|צדודית, מראה של עצם מן הצד
צבא|התאסף, התקבץ או התקהל סביבו
צורף|אדם העוסק ביצירת תכשיטים מכסף ומזהב
ציר|קונסול, שליח רשמי של מדינה; התקן המאפשר סיבוב
צר|אויב
קולר|שרשרת התלויה בצוואר חיה
קיטור|האדים הנוצרים בזמן הרתיחה של מים
קמור|גבנוני, עשוי בצורת קשת בולטת כלפי חוץ
קץ|סוף, גמר, אחרית
קתדרה|דוכן, בימה קטנה שהמרצה עומד עליה
רודן|דיקטטור
רצע|ניקב חור במרצע, דקר בעזרת מכשיר חד
שיבולת|גבעול התבואה; מערבולת
שח|כפוף
שחיקה|הפיכת משהו לבלוי; תשישות ועייפות נפשית
שלה|משך והוציא משהו מתוך נוזל
שנת|כל אחד מקווי החלוקה המצוינים על כלי קיבול
שצף|שטף או זרם בעוז; רתח מזעם
תבוסתנות|חוסר אמונה ביכולת לנצח
תפוקה|יבול, תוצרת; סך הכמות הכללית של הייצור
אורחה|שיירה, חבורה של נוסעים בדרך
אמנה|ברית, חוזה
אפסר|חבל או רצועה המשמשים להובלת בהמה, מושכות
אשמורת|חלק מהלילה
בזז|שדד, בייחוד בזמן מלחמה או מהומות
בר|חוץ; בן; תבואה; נקי, טהור
גאות|עלייה והתרוממות
גווע|גסס, נטה למות; הלך ודעך עד שנעלם
גלב|ספר
גרוגרת|תאנה מיובשת, דבלה
דגול|מצוין, נישא, נבחר
האפיל|משך את תשומת הלב במקומו, הסתיר אותו
הוקיע|גינה בחריפות ובפומבי
הלך|נווד
הנפיק|הוציא
הסתמר|נעשה סמור, התקשה או הזדקף מפחד או מקור
הפר|לא קיים
הרהיב|הדהים, הפעים את הלב, עורר התפעלות
השתוקק|רצה מאוד, התאווה או נכסף למשהו
התבוסס|התגלגל או שכב על האדמה מכוסה במשהו
התכנס|התאסף, התקהל או התרכז במקום אחד
התפיל|הקטין את שיעור המלח במים כדי שיהיו ראויים לשתייה
ולד|תינוק או בעל חיים בימיו הראשונים
זן|נתן מזון, כלכל
חג|הסתובב, נע, עף או טס במעגל סביב משהו
חלץ|הסיר נעל מכף רגלו; שלף פקק מבקבוק
חפוי|מכוסה, מצופה
חירף|קילל, גידף, ביזה
טעם|נימוק, סיבה, הסבר
יפחה|קול התייפחות, יבבה
כלה|נגמר, הסתיים, הגיע לסוף, נשלם
כסיה|כפפה
לעז|שפה זרה; דיבה, שם רע
מאכלת|סכין חדה המשמשת לשחיטה
מדרס|מצע בתוך הנעל; דריכה
מועד|זמן; חג; נופל
מחל|סלח למישהו על חטא, על עוולה
מטעם|בשם, בהוראתו של
מלבלב|מצמיח עלים וענפים
ממולח|ערמומי, שנון, פיקח, מתוחכם
מעל|בגד באמון, עשה שימוש בלתי חוקי בכסף של אחרים
מצודד|שובה, מושך
מרקם|טקסטורה, אופן היערכות החלקים בחומר
מתרס|מחסום בדרך, בריקדה
נגדע|נכרת מן הדבר השלם שאליו היה מחובר
נהי|מספד, קינה, בכי
נוקב|חודר, מעמיק, חריף ומכאיב
נחשל|מפגר, לא מתקדם
ניכר|בולט, נראה לעין
נמק|מוות של חלק מרקמת הגוף החי
נצר|שמר, הגן
נשגב|נעלה, מרומם
סגין|מעיל צבאי
סחי|אשפה, לכלוך
סנגור|פרקליט המגן על נאשם במשפט
עב|ענן
עזובה|שממון, חורבן, הזנחה
עמיר|צרור קטן של שיבולים, עומר קטן
פומבי|פרסום, הודעה ברבים
פיסח|חיגר, צולע
פילס|התקין או סלל דרך, נתיב, שביל
פריך|נוח להישבר, קל להתפורר
צביון|אופי, גוון
צורר|צר, שונא, אויב
צלח|הצליח, עלה יפה; חצה, עבר מקצה אל קצה
צרוב|שרוף, נכווה
קונטרס|גיליון, חוברת
קמילה|נבילה
קצב|בעל אטליז, אדם שעבודתו חיתוך בשר ומכירתו
ראווה|שמטרתו להרשים ולהיראות
ריק|מרחב ריק לחלוטין מחומר כלשהו, ואקום
רצען|בעל מלאכה העוסק בעור
שחון|חם ויבש
שלהי|סוף
שיסה|גירה בעל חיים ועורר אותו לתקוף מישהו, הסית
שריר|בעל תוקף חזק שאינו ניתן לערעור
תבן|קש מעוך ורך, פסולת התבואה הנשארת אחרי הדיש
תורפה|חולשה, ריפיון
תמיר|גבוה, בעל קומה זקופה
תפל|חסר מלח, חסר טעם; סתמי, ריקני
אגד|פלסטר; צרור, חבילה
איתן|חזק, יציב, קבוע
אמש|הלילה שעבר
אפרכסת|החלק החיצוני של האוזן הבולט מן הראש
אשפה|זבל; נרתיק לחיצים
בדאי|שקרן, רמאי, גוזמאי
בלהה|בהלה, אימה ופחד
בעליל|בבירור, בפירוש, במובהק
גיבב|אסף חפצים שונים וערם אותם בערימה
גילם|המחיש, ביטא, עיצב; מילא תפקיד בהצגה או בסרט
גרום|בעל עצמות בולטות, רזה
דגירה|ישיבת נקבת העופות על הביצים כדי לחממן
האציל|העביר, העניק
הזדכך|נעשה זך וטהור, היטהר
העיב|כיסה בענן, החשיך, הטיל צל
הפרטה|הפיכת דבר כלשהו לפרטי
הרעיף|העניק דברים טובים בשפע, המטיר, השפיע
השתכשך|התנועע קלות בתוך מים תוך טלטול הידיים והרגליים
התלהם|התבטא בחריפות, השמיע דברי גינוי או ביקורת קשים
התפכח|התעורר משכרונו; התעורר מאשליה וראה את המציאות
ואסל|כפוף, משועבד, עבד
זנח|עזב, השאיר מישהו לבד, נטש
חלק|נתן, העניק; שיתף, התחלק; לא הסכים, התנגד
חפן|תפס או לפת משהו בכף ידו וכיסהו
חרפה|בושה גדולה, ביזיון, כלימה
טרוניה|טענה קשה, תרעומת, תלונה
ירכתיים|החלק האחורי
כילה|רשת שפורשים מעל למיטה להגנה מפני חרקים; סיים, גמר
כסס|כרסם
לאה|עייף, יגע
מאן|סירב, לא רצה, לא הסכים
מגל|מכשיר לקצירת תבואה ועשבים
מהביל|מעלה אדים, רותח
מופשט|לא מוחשי, אבסטרקטי
